site	id	x	y	dbh	height	species	crown_area
44	37	29.943	3.575	170	11.399	Picea_abies	3.0565265
44	38	23.348	3.787	164	13.937	Pinus_sylvestris	1.834632
45	1	1.868	1.467	110	6.618	Picea_abies	3.9714595
45	2	4.01	2.191	379	13.119	Pinus_sylvestris	27.5001645
45	3	4.473	2.77	123	7.147	Picea_abies	4.4345975
45	4	1.468	3.194	110	6	Picea_abies	3.8945115
45	5	1.77	5.88	121	9.365	Picea_abies	2.4605175
45	6	-0.647	6.253	133	8.662	Picea_abies	4.388377
45	7	0.775	11.603	178	12.777	Picea_abies	4.7591235
45	8	-0.258	13.176	117	10.5	Picea_abies	1.5338935
45	9	6.788	10.874	221	6.636	Pinus_sylvestris	3.3511735
45	10	4.97	10.677	161	12.125	Picea_abies	2.959288
45	11	2.536	10.101	193	15.225	Picea_abies	4.485013
45	12	3.462	11.848	112	9.952	Picea_abies	2.172201
45	13	3.793	14.856	150	10.197	Picea_abies	3.6895055
45	14	0.41	16.976	112	5.7	Picea_abies	4.0154545
45	15	2.996	17.864	119	9.1	Picea_abies	1.991844
45	16	9.674	13.479	442	21.375	Pinus_sylvestris	14.044893
45	17	7.168	17.163	446	20.832	Pinus_sylvestris	30.6156855
45	18	4.615	20.717	145	10.544	Picea_abies	6.1317245
45	19	2.874	20.89	239	13.106	Picea_abies	5.31798
45	20	0.024	25.204	138	9.493	Picea_abies	3.5959355
45	21	7.273	32.755	197	14.149	Picea_abies	5.055571
45	22	13.525	28.352	306	20.539	Picea_abies	9.9988335
45	23	16.895	32.927	166	10.807	Picea_abies	3.9920515
45	24	19.497	31.29	130	7.744	Picea_abies	5.6121805
45	25	14.281	16.892	149	11.146	Picea_abies	4.2942175
45	26	16.496	19.312	235	8.25	Betula_pubescens	11.4449925
45	27	20.819	19.307	271	13.792	Pinus_sylvestris	10.593228
45	28	22.31	17.757	170	11.391	Picea_abies	4.640304
45	29	16.196	11.804	162	10.667	Picea_abies	3.238363
45	30	17.295	12.13	122	7.806	Picea_abies	3.295772
45	31	20.593	10.756	610	19.498	Pinus_sylvestris	54.975679
45	32	19.081	7.637	191	8.749	Picea_abies	6.762585
45	33	9.508	8.276	149	8.827	Picea_abies	3.149713
45	34	23.072	14.569	125	9.313	Picea_abies	3.0890655
45	35	25.14	31.006	328	16.95	Picea_abies	15.1747985
45	36	33.086	25.864	373	17.008	Picea_abies	17.259428
45	37	28.08	20.081	135	9.055	Picea_abies	3.530355
45	38	28.067	19.622	115	6.706	Picea_abies	2.462165
45	39	31.454	16.94	231	14.943	Picea_abies	8.582731
45	40	30.224	17.158	141	11.491	Picea_abies	2.978061
45	41	22.988	13.255	122	9.32	Picea_abies	2.75008
45	42	25.346	11.767	140	8.63	Picea_abies	4.317807
45	43	29.178	10.38	100	8.486	Picea_abies	1.700345
45	44	31.299	13.734	203	14.451	Picea_abies	4.0007725
45	45	31.386	4.347	131	9.26	Picea_abies	3.8442115
45	46	31.478	3.844	145	9.325	Betula_pubescens	9.29512
45	47	20.494	-2.219	380	16.606	Pinus_sylvestris	21.3708865
46	1	2.867	3.198	170	13.796	Pinus_sylvestris	2.638825
46	2	2.967	4.142	110	7.601	Betula_pubescens	5.960322
46	3	4.216	4.398	185	13.519	Betula_pubescens	7.472478
46	4	-0.342	7.442	180	14.951	Picea_abies	4.70653
46	5	1.618	11.259	410	20.571	Pinus_sylvestris	18.5289485
46	6	4.601	19.208	382	13.199	Pinus_sylvestris	19.622612
46	7	5.781	21.501	150	11.606	Picea_abies	3.198616
46	8	8.353	20.017	180	9.007	Picea_abies	3.8100275
46	9	5.718	23.6	145	10.691	Picea_abies	3.099793
46	10	3.036	26.562	170	13.194	Picea_abies	5.4150765
46	11	12.668	21.731	168	10.187	Picea_abies	4.3453245
46	12	9.568	7.635	161	11.528	Picea_abies	2.8445515
46	13	11.222	6.396	333	16.495	Pinus_sylvestris	10.702063
46	14	7.972	2.22	351	16.779	Pinus_sylvestris	12.184317
46	15	14.509	3.698	326	15.672	Pinus_sylvestris	12.676647
46	16	15.286	2.176	220	12.301	Pinus_sylvestris	5.8721805
46	17	14.361	0.647	111	8.746	Picea_abies	2.331273
46	18	17.714	8.923	113	8.556	Picea_abies	1.9348355
46	19	20.113	7.67	101	7.92	Picea_abies	2.5359245
46	20	22.597	4.526	211	14.625	Betula_pubescens	10.1414575
46	21	23.356	4.217	240	14.721	Picea_abies	6.9535675
46	22	27.877	3.657	120	7.376	Picea_abies	3.9909555
46	23	28.961	7.255	129	10.023	Picea_abies	0.726619
46	24	27.345	12.513	237	16.15	Picea_abies	3.18622
46	25	26.547	13.928	195	15.445	Picea_abies	3.0650115
46	26	22.618	14.246	124	11.499	Picea_abies	2.5519935
46	27	27.255	16.752	261	13.918	Betula_pubescens	16.7280655
46	28	28.493	16.34	127	7.546	Picea_abies	4.6481725
46	29	25.382	23.669	650	25.657	Pinus_sylvestris	46.4261135
46	30	20.75	23.807	292	16.778	Picea_abies	9.3216785
46	31	21.801	22.71	191	11.091	Betula_pubescens	14.0004535
46	32	18.061	22.576	476	19.87	Pinus_sylvestris	17.907044
46	33	14.855	17.457	101	8.229	Picea_abies	2.8010085
46	34	15.119	31.772	420	24.601	Pinus_sylvestris	46.408382
46	35	17.421	30.698	159	11.463	Picea_abies	7.873853
46	36	8.612	32.193	338	19.55	Pinus_sylvestris	9.952375
